,pdf_name,typ,frq,si_app,th_strat,th_meas,mt_uV,th_ri,mt_contr,si_pct,si_pct_min,si_pct_max,mso,stim_co,stim_mo,coil_shp,coil_siz,coil_mo,note,contrib_id,PMID,doi,link
11,Praamstra_1999_Neuroreport_10619664.pdf,rTMS,20.0,RMT,,E,,,,90.0,,,,MedDan,MP,F8,,,frq: ISI 50 ms,1,10619664,10.1097/00001756-199911260-00038,https://doi.org/10.1097/00001756-199911260-00038
12,Reid_1999_AustNZJPsychiatry_10336227.pdf,rTMS,10.0,MT,,V,,,,100.0,,,,MagSti,R,F8,70.0,,,1,10336227,10.1046/j.1440-1614.1999.00550.x,https://doi.org/10.1046/j.1440-1614.1999.00550.x
13,Siebner_1999_Neuroreport_10208595.pdf,rTMS,5.0,RMT,,,,,,90.0,,,,MedDan,MP,F8,,,,1,10208595,10.1097/00001756-199902250-00027,https://doi.org/10.1097/00001756-199902250-00027
14,Siebner_1999_NeurosciLett_10203249.pdf,rTMS,1.0,RMT,CITE,,,,,105.0,,,,MedDan,MP,F8,50.0,MC-B70,group: healthy; coil_siz: outer winding diameter,1,10203249,10.1016/s0304-3940(99)00056-7,https://doi.org/10.1016/s0304-3940(99)00056-7
15,Siebner_1999_NeurosciLett_10203249.pdf,rTMS,1.0,RMT,CITE,,,,,105.0,,,,MedDan,MP,F8,50.0,MC-B70,group: writer's cramp; coil_siz: outer winding diameter,1,10203249,10.1016/s0304-3940(99)00056-7,https://doi.org/10.1016/s0304-3940(99)00056-7
16,Boroojerdi_2000_Neurology_10751273.pdf,rTMS,1.0,PT,ML,,,3_5,,100.0,,,56.3,MagSti,R,F8,90.0,,site: optimal location to induce phosphenes,1,10751273,10.1212/wnl.54.7.1529,https://doi.org/10.1212/wnl.54.7.1529
17,Eschweiler_2000_PsychiatryRes_11068197.pdf,rTMS,10.0,MT,,,,,,90.0,,,,MagSti,R,F8,,,,1,11068197,10.1016/s0925-4927(00)00062-7,https://doi.org/10.1016/s0925-4927(00)00062-7
18,Grunhaus_2000_BiolPsychiatry_10686266.pdf,rTMS,10.0,MT,ML,E,50.0,5_10,,90.0,,,,MagSti,R,F8,100.0,,burst: 2 or 6 seconds; coil_siz: wing span,1,10686266,10.1016/s0006-3223(99)00254-1,https://doi.org/10.1016/s0006-3223(99)00254-1
19,Kessels_2000_NeurosciLett_10841993.pdf,rTMS,25.0,MT,CITE,V,,,,115.0,,,,Cad,HS,F8,70.0,WC,site: P3,1,10841993,10.1016/s0304-3940(00)01146-0,https://doi.org/10.1016/s0304-3940(00)01146-0
20,Kessels_2000_NeurosciLett_10841993.pdf,rTMS,25.0,MT,CITE,V,,,,115.0,,,,Cad,HS,F8,70.0,WC,site: P4,1,10841993,10.1016/s0304-3940(00)01146-0,https://doi.org/10.1016/s0304-3940(00)01146-0
21,Kozel_2000_JNeuropsychiatryClinNeurosci_10956572.pdf,rTMS,20.0,RMT,CITE,V,,,,100.0,,,,Cad,,F8,,WC,,1,10956572,10.1176/jnp.12.3.376,https://doi.org/10.1176/jnp.12.3.376
22,Kozel_2000_JNeuropsychiatryClinNeurosci_10956572.pdf,rTMS,5.0,RMT,CITE,V,,,,100.0,,,,Cad,,F8,,WC,,1,10956572,10.1176/jnp.12.3.376,https://doi.org/10.1176/jnp.12.3.376
23,Menkes_2000_Epilepsia_10691123.pdf,rTMS,0.5,MT,ML,V,,3_6,,95.0,,,80.0,Cad,MES10,R,90.0,,,1,10691123,10.1111/j.1528-1157.2000.tb00146.x,https://doi.org/10.1111/j.1528-1157.2000.tb00146.x
24,Pecuch_2000_EurArchPsychiatryClinNeurosci_11153967.pdf,rTMS,10.0,RMT,CITE,V,,,,95.0,,,,MedDan,MP,F8,,,mso: 58.1 A/us,1,11153967,10.1007/s004060070007,https://doi.org/10.1007/s004060070007
25,Pecuch_2000_EurArchPsychiatryClinNeurosci_11153967.pdf,rTMS,20.0,RMT,CITE,V,,,,95.0,,,,MedDan,MP,F8,,,mso: 58.1 A/us,1,11153967,10.1007/s004060070007,https://doi.org/10.1007/s004060070007
26,Pecuch_2000_EurArchPsychiatryClinNeurosci_11153967.pdf,rTMS,10.0,RMT,CITE,V,,,,110.0,,,,MedDan,MP,F8,,,mso: 58.1 A/us,1,11153967,10.1007/s004060070007,https://doi.org/10.1007/s004060070007
27,Pecuch_2000_EurArchPsychiatryClinNeurosci_11153967.pdf,rTMS,20.0,RMT,CITE,V,,,,110.0,,,,MedDan,MP,F8,,,mso: 58.1 A/us,1,11153967,10.1007/s004060070007,https://doi.org/10.1007/s004060070007
28,Pridmore_2000_DepressAnxiety_11126185.pdf,rTMS,20.0,MT,ML,V,,,,100.0,,,,MagSti,SR,F8,70.0,,,1,11126185,10.1002/1520-6394(2000)12:3<118::AID-DA2>3.0.CO;2-G,https://doi.org/10.1002/1520-6394(2000)12:3<118::AID-DA2>3.0.CO;2-G
29,Pridmore_2000_IntJNeuropsychopharmacol_11343589.pdf,rTMS,20.0,MT,ML,V,,,,100.0,,,,MagSti,SR,,,,,1,11343589,10.1017/S1461145700001784,https://doi.org/10.1017/S1461145700001784
30,Rollnik_2000_MuscleNerve_10590414.pdf,rTMS,5.0,MT,ML,E,50.0,3_4,,90.0,,,37.548,MagSti,R,F8,,,,1,10590414,10.1002/(sici)1097-4598(200001)23:1<112::aid-mus15>3.0.co;2-b,https://doi.org/10.1002/(sici)1097-4598(200001)23:1<112::aid-mus15>3.0.co;2-b
31,Rollnik_2000_Neuroreport_11192620.pdf,rTMS,20.0,MT,,,,,,80.0,,,,MagSti,R,F8,,,,1,11192620,10.1097/00001756-200012180-00022,https://doi.org/10.1097/00001756-200012180-00022
32,Romeo_2000_ExpBrainRes_11156314.pdf,rTMS,1.0,RMT,ML,E,100.0,5_10,,110.0,,,,Cad,HS,F8,,WC,,1,11156314,10.1007/s002210000541,https://doi.org/10.1007/s002210000541
33,Romeo_2000_ExpBrainRes_11156314.pdf,rTMS,2.0,RMT,ML,E,100.0,5_10,,110.0,,,,Cad,HS,F8,,WC,,1,11156314,10.1007/s002210000541,https://doi.org/10.1007/s002210000541
34,Romeo_2000_ExpBrainRes_11156314.pdf,rTMS,3.0,RMT,ML,E,100.0,5_10,,110.0,,,,Cad,HS,F8,,WC,,1,11156314,10.1007/s002210000541,https://doi.org/10.1007/s002210000541
35,Romeo_2000_ExpBrainRes_11156314.pdf,rTMS,5.0,RMT,ML,E,100.0,5_10,,110.0,,,,Cad,HS,F8,,WC,,1,11156314,10.1007/s002210000541,https://doi.org/10.1007/s002210000541
36,Romeo_2000_ExpBrainRes_11156314.pdf,rTMS,10.0,RMT,ML,E,100.0,5_10,,110.0,,,,Cad,HS,F8,,WC,,1,11156314,10.1007/s002210000541,https://doi.org/10.1007/s002210000541
37,Romeo_2000_ExpBrainRes_11156314.pdf,rTMS,15.0,RMT,ML,E,100.0,5_10,,110.0,,,,Cad,HS,F8,,WC,,1,11156314,10.1007/s002210000541,https://doi.org/10.1007/s002210000541
38,Romeo_2000_ExpBrainRes_11156314.pdf,rTMS,5.0,RMT,ML,E,100.0,5_10,,90.0,,,,Cad,HS,F8,,WC,,1,11156314,10.1007/s002210000541,https://doi.org/10.1007/s002210000541
39,Romeo_2000_ExpBrainRes_11156314.pdf,rTMS,10.0,RMT,ML,E,100.0,5_10,,90.0,,,,Cad,HS,F8,,WC,,1,11156314,10.1007/s002210000541,https://doi.org/10.1007/s002210000541
40,Romeo_2000_ExpBrainRes_11156314.pdf,rTMS,3.0,RMT,ML,E,100.0,5_10,,140.0,,,,Cad,HS,F8,,WC,,1,11156314,10.1007/s002210000541,https://doi.org/10.1007/s002210000541
41,Romeo_2000_ExpBrainRes_11156314.pdf,rTMS,5.0,RMT,ML,E,100.0,5_10,,,100.0,110.0,,Cad,HS,F8,,WC,,1,11156314,10.1007/s002210000541,https://doi.org/10.1007/s002210000541
42,Romeo_2000_ExpBrainRes_11156314.pdf,rTMS,10.0,RMT,ML,E,100.0,5_10,,,100.0,110.0,,Cad,HS,F8,,WC,,1,11156314,10.1007/s002210000541,https://doi.org/10.1007/s002210000541
43,Rossi_2000_CerebCortex_10920051.pdf,rTMS,1.0,RMT,ML,E,50.0,0.5,,110.0,,,,MedDan,MP,F8,,,,1,10920051,10.1093/cercor/10.8.802,https://doi.org/10.1093/cercor/10.8.802
44,Siebner_2000_NeurosciLett_10773420.pdf,rTMS,5.0,RMT,ML,E,50.0,5_10,,90.0,,,,MedDan,MP,F8,,MC-B70,,1,10773420,10.1016/s0304-3940(00)00990-3,https://doi.org/10.1016/s0304-3940(00)00990-3
45,Wu_2000_NeurosciLett_10841985.pdf,rTMS,5.0,RMT,ML,E,50.0,1_5,,120.0,,,,MagSti,R,F8,70.0,,,1,10841985,10.1016/s0304-3940(00)01132-0,https://doi.org/10.1016/s0304-3940(00)01132-0
46,Wu_2000_NeurosciLett_10841985.pdf,rTMS,15.0,RMT,ML,E,50.0,1_5,,120.0,,,,MagSti,R,F8,70.0,,,1,10841985,10.1016/s0304-3940(00)01132-0,https://doi.org/10.1016/s0304-3940(00)01132-0
47,Boylan_2001_ClinNeurophysiol_11165527.pdf,rTMS,10.0,RMT,ML,E,50.0,5_10,,,68.0,110.0,,MagSti,SR,F8,70,,,1,11165527,10.1016/s1388-2457(00)00519-8,https://doi.org/10.1016/s1388-2457(00)00519-8
48,Garcia-Toro_2001_JAffectDisord_11313095.pdf,rTMS,20.0,MT,,,,,,90.0,,,,MedDan,MP,F8,,,phase: 1 and 2,1,11313095,10.1016/s0165-0327(00)00223-8,https://doi.org/10.1016/s0165-0327(00)00223-8
49,Garcia-Toro_2001_JAffectDisord_11313095.pdf,rTMS,20.0,MT,,,,,,110.0,,,,MedDan,MP,F8,,,phase: 2,1,11313095,10.1016/s0165-0327(00)00223-8,https://doi.org/10.1016/s0165-0327(00)00223-8
50,García-Toro_2001_JNeurolNeurosurgPsychiatry_11561046.pdf,rTMS,20.0,MT,CITE,,,,,90.0,,,,MedDan,MP,F8,85,,,1,11561046,10.1136/jnnp.71.4.546,https://doi.org/10.1136/jnnp.71.4.546
51,Gerschlager_2001_Neurology_11502912.pdf,rTMS,1.0,AMT,ML,E,200.0,5_10,,90.0,,,,MagSti,R,F8,90,,site: premotor; coil_siz: mean loop diameter,1,11502912,10.1212/wnl.57.3.449,https://doi.org/10.1212/wnl.57.3.449
52,Gerschlager_2001_Neurology_11502912.pdf,rTMS,1.0,AMT,ML,E,200.0,5_10,,90.0,,,,MagSti,R,F8,90,,site: motor; coil_siz: mean loop diameter,1,11502912,10.1212/wnl.57.3.449,https://doi.org/10.1212/wnl.57.3.449
53,Graf_2001_PsychiatryRes_11472859.pdf,rTMS,20.0,MT,,,,,,90.0,,,65.0,Cad,MES10,F8,75,WC,coil_sit: outer diameter,1,11472859,10.1016/s0925-4927(01)00083-x,https://doi.org/10.1016/s0925-4927(01)00083-x
54,Jing_2001_ClinNeurophysiol_11165534.pdf,rTMS,10.0,MT,,,,,,100.0,,,,MagSti,,F8,,,,1,11165534,10.1016/s1388-2457(00)00540-x,https://doi.org/10.1016/s1388-2457(00)00540-x
55,Jing_2001_JNeurol_11355151.pdf,rTMS,10.0,MT,,,,,,100.0,,,,MagSti,R,F8,,,,1,11355151,10.1007/s004150170224,https://doi.org/10.1007/s004150170224
56,Loo_2001_BiolPsychiatry_11297719.pdf,rTMS,10.0,RMT,,,,,,110.0,,,,MagSti,,F8,70,,,1,11297719,10.1016/s0006-3223(00)00996-3,https://doi.org/10.1016/s0006-3223(00)00996-3
57,Modugno_2001_ExpBrainRes_11685398.pdf,rTMS,5.0,RMT,,E,50.0,5_10,,100.0,,,,MagSti,R,F8,,,experiment: 1;,1,11685398,10.1007/s002210100843,https://doi.org/10.1007/s002210100843
58,Modugno_2001_ExpBrainRes_11685398.pdf,rTMS,10.0,RMT,,E,50.0,5_10,,100.0,,,,MagSti,R,F8,,,,1,11685398,10.1007/s002210100843,https://doi.org/10.1007/s002210100843
59,Modugno_2001_ExpBrainRes_11685398.pdf,rTMS,20.0,RMT,,E,50.0,5_10,,100.0,,,,MagSti,R,F8,,,,1,11685398,10.1007/s002210100843,https://doi.org/10.1007/s002210100843
60,Modugno_2001_ExpBrainRes_11685398.pdf,rTMS,5.0,RMT,,E,50.0,5_10,,130.0,,,,MagSti,R,F8,,,,1,11685398,10.1007/s002210100843,https://doi.org/10.1007/s002210100843
61,Modugno_2001_ExpBrainRes_11685398.pdf,rTMS,10.0,RMT,,E,50.0,5_10,,130.0,,,,MagSti,R,F8,,,,1,11685398,10.1007/s002210100843,https://doi.org/10.1007/s002210100843
62,Modugno_2001_ExpBrainRes_11685398.pdf,rTMS,20.0,RMT,,E,50.0,5_10,,130.0,,,,MagSti,R,F8,,,,1,11685398,10.1007/s002210100843,https://doi.org/10.1007/s002210100843
63,Modugno_2001_ExpBrainRes_11685398.pdf,rTMS,5.0,RMT,,E,50.0,5_10,,150.0,,,,MagSti,R,F8,,,,1,11685398,10.1007/s002210100843,https://doi.org/10.1007/s002210100843
64,Modugno_2001_ExpBrainRes_11685398.pdf,rTMS,10.0,RMT,,E,50.0,5_10,,150.0,,,,MagSti,R,F8,,,,1,11685398,10.1007/s002210100843,https://doi.org/10.1007/s002210100843
65,Modugno_2001_ExpBrainRes_11685398.pdf,rTMS,20.0,RMT,,E,50.0,5_10,,150.0,,,,MagSti,R,F8,,,,1,11685398,10.1007/s002210100843,https://doi.org/10.1007/s002210100843
66,Modugno_2001_ExpBrainRes_11685398.pdf,rTMS,5.0,RMT,,E,50.0,5_10,,130.0,,,,MagSti,R,F8,,,experiment: 2; multiple pulse numbers,1,11685398,10.1007/s002210100843,https://doi.org/10.1007/s002210100843
67,Niehaus_2001_JNeurolSci_11137517.pdf,rTMS,10.0,MT,,V,,,,130.0,,,,MedDan,MP,R,120,,experiment: 1; coil_siz: outer diameter; pulse per train: 2 and 5; multiple sites,1,11137517,10.1016/s0022-510x(00)00462-7,https://doi.org/10.1016/s0022-510x(00)00462-7
68,Niehaus_2001_JNeurolSci_11137517.pdf,rTMS,10.0,MT,,V,,,,130.0,,,,MedDan,MP,R,120,,experiment: 2; coil_siz: outer diameter,1,11137517,10.1016/s0022-510x(00)00462-7,https://doi.org/10.1016/s0022-510x(00)00462-7
69,Niehaus_2001_JNeurolSci_11137517.pdf,rTMS,20.0,MT,,V,,,,130.0,,,,MedDan,MP,R,120,,experiment: 2; coil_siz: outer diameter; pulse per train:5 and 10,1,11137517,10.1016/s0022-510x(00)00462-7,https://doi.org/10.1016/s0022-510x(00)00462-7
70,Niehaus_2001_JNeurolSci_11137517.pdf,rTMS,10.0,FXD,,,,,,,,,20.0,MedDan,MP,R,120,,experiment: 3; coil_siz: outer diameter,1,11137517,10.1016/s0022-510x(00)00462-7,https://doi.org/10.1016/s0022-510x(00)00462-7
71,Niehaus_2001_JNeurolSci_11137517.pdf,rTMS,10.0,FXD,,,,,,,,,40.0,MedDan,MP,R,120,,experiment: 3; coil_siz: outer diameter,1,11137517,10.1016/s0022-510x(00)00462-7,https://doi.org/10.1016/s0022-510x(00)00462-7
72,Niehaus_2001_JNeurolSci_11137517.pdf,rTMS,10.0,FXD,,,,,,,,,60.0,MedDan,MP,R,120,,experiment: 3; coil_siz: outer diameter,1,11137517,10.1016/s0022-510x(00)00462-7,https://doi.org/10.1016/s0022-510x(00)00462-7
73,Niehaus_2001_JNeurolSci_11137517.pdf,rTMS,10.0,FXD,,,,,,,,,80.0,MedDan,MP,R,120,,experiment: 3; coil_siz: outer diameter,1,11137517,10.1016/s0022-510x(00)00462-7,https://doi.org/10.1016/s0022-510x(00)00462-7
74,Robertson_2001_CerebCortex_11415965.pdf,rTMS,1.0,MT,ML,E,50.0,6_10,,115.0,,,,MagSti,SR,F8,70,,site: prefrontal; multiple tasks,1,11415965,10.1093/cercor/11.7.628,https://doi.org/10.1093/cercor/11.7.628
75,Robertson_2001_CerebCortex_11415965.pdf,rTMS,1.0,MT,ML,E,50.0,6_10,,115.0,,,,MagSti,SR,F8,70,,site: parietal; multiple tasks,1,11415965,10.1093/cercor/11.7.628,https://doi.org/10.1093/cercor/11.7.628
76,Rollnik_2001_MuscleNerve_11150973.pdf,rTMS,5.0,MT,ML,E,50.0,3_4,,90.0,,,35.28,MagSti,R,F8, ,,rTMS only,1,11150973,10.1002/1097-4598(200101)24:1<112::aid-mus15>3.0.co;2-7,https://doi.org/10.1002/1097-4598(200101)24:1<112::aid-mus15>3.0.co;2-7
77,Rollnik_2001_MuscleNerve_11150973.pdf,rTMS,5.0,MT,ML,E,50.0,3_4,,90.0,,,35.28,MagSti,R,F8, ,,rTMS + muscle vibration,1,11150973,10.1002/1097-4598(200101)24:1<112::aid-mus15>3.0.co;2-7,https://doi.org/10.1002/1097-4598(200101)24:1<112::aid-mus15>3.0.co;2-7
78,Schutter_2001_Neuroreport_11234743.pdf,rTMS,1.0,MT,CITE,V,,,,130.0,,,,NeoNet,NP,,,,,1,11234743,10.1097/00001756-200103050-00005,https://doi.org/10.1097/00001756-200103050-00005
79,Sparing_2001_JClinNeurophysiol_11673698.pdf,rTMS,1.0,FXD,,,,,,,,,55.0,MagSti,R,F8,,,experiment: 1,1,11673698,10.1097/00004691-200107000-00004,https://doi.org/10.1097/00004691-200107000-00004
80,Sparing_2001_JClinNeurophysiol_11673698.pdf,rTMS,20.0,FXD,,,,,,,,,55.0,MagSti,R,F8,,,experiment: 2,1,11673698,10.1097/00004691-200107000-00004,https://doi.org/10.1097/00004691-200107000-00004
81,Sparing_2001_JClinNeurophysiol_11673698.pdf,rTMS,20.0,FXD,,,,,,,,,45.0,MagSti,R,F8,,,experiment: 2,1,11673698,10.1097/00004691-200107000-00004,https://doi.org/10.1097/00004691-200107000-00004
82,Sparing_2001_JClinNeurophysiol_11673698.pdf,rTMS,20.0,FXD,,,,,,,,,35.0,MagSti,R,F8,,,experiment: 2,1,11673698,10.1097/00004691-200107000-00004,https://doi.org/10.1097/00004691-200107000-00004
83,Yoshida_2001_JNeurolSci_11231036.pdf,rTMS,0.2,MT,ML,E,50.0,5_10,,90.0,,,,MagSti,200,R,90,,coil_siz: inner diameter,1,11231036,10.1016/s0022-510x(00)00505-0,https://doi.org/10.1016/s0022-510x(00)00505-0
84,Aleman_2002_BrainResCognBrainRes_12067703.pdf,rTMS,2.0,MT,,V,,,,90.0,,,,NeuNet,NP,,,,site: Oz; coil_mo: iron core,1,12067703,10.1016/s0926-6410(02)00109-x,https://doi.org/10.1016/s0926-6410(02)00109-x
85,Aleman_2002_BrainResCognBrainRes_12067703.pdf,rTMS,2.0,MT,,V,,,,90.0,,,,NeuNet,NP,,,,site: P4; coil_mo: iron core,1,12067703,10.1016/s0926-6410(02)00109-x,https://doi.org/10.1016/s0926-6410(02)00109-x
86,Antal_2002_Neuroreport_12488802.pdf,rTMS,1.0,PT,,,,,,100.0,,,73.55,MedDan,MP,F8,,,protocol: monophasic; mso: or 50% MSO if no PT,1,12488802,10.1097/00001756-200212030-00013,https://doi.org/10.1097/00001756-200212030-00013
87,Antal_2002_Neuroreport_12488802.pdf,rTMS,1.0,PT,,,,,,100.0,,,63.7,MedDan,MP,F8,,,protocol: biphasic; mso: or 50% MSO if no PT,1,12488802,10.1097/00001756-200212030-00013,https://doi.org/10.1097/00001756-200212030-00013
88,Bestmann_2002_Neuroimage_12414290.pdf,rTMS,20.0,RMT,CITE,,,,,120.0,,,,MagSti,SR,F8,,,site: P3,1,12414290,10.1006/nimg.2002.1266,https://doi.org/10.1006/nimg.2002.1266
89,Bestmann_2002_Neuroimage_12414290.pdf,rTMS,20.0,RMT,CITE,,,,,120.0,,,,MagSti,SR,F8,,,site: P4,1,12414290,10.1006/nimg.2002.1266,https://doi.org/10.1006/nimg.2002.1266
90,Conca_2002_Neuropsychobiology_11803238.pdf,rTMS,0.25,FXD,,,,,,,,,80.0,MedDan,16E05,R,,,,1,11803238,10.1159/000048669,https://doi.org/10.1159/000048669
91,Dragasevic_2002_MovDisord_12112202.pdf,rTMS,0.5,MT,ML,E,50.0,5_10,,110.0,,,,MagSti,200,R,90.0,,,1,12112202,10.1002/mds.10109,https://doi.org/10.1002/mds.10109
92,Gerschlager_2002_ClinNeurophysiol_12169325.pdf,rTMS,1.0,FXD,,,,,,,,,40.0,MagSti,R,F8-D,110.0,,experiment: 1; coil_siz: mean diameter,1,12169325,10.1016/s1388-2457(02)00156-6,https://doi.org/10.1016/s1388-2457(02)00156-6
93,Gilio_2002_MovDisord_12112192.pdf,rTMS,5.0,RMT,ML,E,100.0,5_10,,120.0,,,,Cad,HS,F8,,,group: healthy,1,12112192,10.1002/mds.1255,https://doi.org/10.1002/mds.1255
94,Gilio_2002_MovDisord_12112192.pdf,rTMS,5.0,RMT,ML,E,100.0,5_10,,120.0,,,,Cad,HS,F8,,,group: PD ,1,12112192,10.1002/mds.1255,https://doi.org/10.1002/mds.1255
95,Lewald_2002_JNeurosci_11826153.pdf,rTMS,1.0,FXD,,,,,,,,,60.0,MagSti,R,F8,90.0,,site: P3; coil_siz: outer diameter,1,11826153,,https://doi.org/None
96,Lewald_2002_JNeurosci_11826153.pdf,rTMS,1.0,FXD,,,,,,,,,60.0,MagSti,R,F8,90.0,,site: P4; coil_siz: outer diameter,1,11826153,,https://doi.org/None
97,Moser_2002_Neurology_11971103.pdf,rTMS,20.0,MT,ML_CITE,,,,,80.0,,,,MagSti,SR,F8,,,,1,11971103,10.1212/wnl.58.8.1288,https://doi.org/10.1212/wnl.58.8.1288
98,Padberg_2002_JPsychiatrRes_11886690.pdf,rTMS,10.0,MT,,,,,,100.0,,,,MagSti,R,F8,70.0,,,1,11886690,10.1016/s0022-3956(01)00059-0,https://doi.org/10.1016/s0022-3956(01)00059-0
99,Padberg_2002_Neuropsychopharmacology_12431862.pdf,rTMS,10.0,MT,,,,,,100.0,,,,,,,,,device: not reported,1,12431862,10.1016/S0893-133X(02)00355-X,https://doi.org/10.1016/S0893-133X(02)00355-X
100,Rollnik_2002_ClinNeurophysiol_12048056.pdf,rTMS,0.9,MT,ML,E,50.0,3_4,,90.0,,,49.050000000000004,MagSti,R,F8,,,,1,12048056,10.1016/s1388-2457(02)00063-9,https://doi.org/10.1016/s1388-2457(02)00063-9
101,Satow_2002_ClinNeurophysiol_12169326.pdf,rTMS,0.9,RMT,CITE,,,,,90.0,,,,MagSti,SR,F8,70.0,AC,MSO range: 54-78%,1,12169326,10.1016/s1388-2457(02)00187-6,https://doi.org/10.1016/s1388-2457(02)00187-6
102,Serrien_2002_NeurosciLett_12133562.pdf,rTMS,5.0,AMT,ML,,,5_10,,90.0,,,,MagSti,200,F8,,,,1,12133562,10.1016/s0304-3940(02)00499-8,https://doi.org/10.1016/s0304-3940(02)00499-8
103,Sommer_2002_ClinNeurophysiol_12048055.pdf,rTMS,0.9,RMT,,,50.0,5_10,,120.0,,,,MagSti,R,F8,70.0,,si_app: SI1mV; protocol: single rTMS; coil_siz: outer diameter,1,12048055,10.1016/s1388-2457(02)00061-5,https://doi.org/10.1016/s1388-2457(02)00061-5
104,Bestmann_2003_Neuroimage_14642478.pdf,rTMS,4.0,RMT,ML,V,,2_4,,110.0,,,,MagSti,R,F8,70.0,,MSO range: 56-89%,1,14642478,10.1016/j.neuroimage.2003.07.028,https://doi.org/10.1016/j.neuroimage.2003.07.028
105,Bestmann_2003_Neuroimage_14642478.pdf,rTMS,4.0,AMT,ML,V,,2_4,0.1,110.0,,,,MagSti,R,F8,70.0,,MSO range: 56-89%,1,14642478,10.1016/j.neuroimage.2003.07.028,https://doi.org/10.1016/j.neuroimage.2003.07.028
106,Bestmann_2003_Neuroimage_14642478.pdf,rTMS,4.0,AMT,ML,V,,2_4,0.1,90.0,,,,MagSti,R,F8,70.0,,MSO range: 56-89%,1,14642478,10.1016/j.neuroimage.2003.07.028,https://doi.org/10.1016/j.neuroimage.2003.07.028
107,Brighina_2003_EurJNeurosci_12814379.pdf,rTMS,1.0,MT,ML,E,50.0,5_10,,90.0,,,,Cad,HF,F8,,,site: O1,1,12814379,10.1046/j.1460-9568.2003.02679.x,https://doi.org/10.1046/j.1460-9568.2003.02679.x
108,Brighina_2003_EurJNeurosci_12814379.pdf,rTMS,1.0,MT,ML,E,50.0,5_10,,90.0,,,,Cad,HF,F8,,,site: O2,1,12814379,10.1046/j.1460-9568.2003.02679.x,https://doi.org/10.1046/j.1460-9568.2003.02679.x
109,Brighina_2003_NeurosciLett_12499057.pdf,rTMS,1.0,MT,ML,E,50.0,5_10,,90.0,,,48.900000000000006,Cad,,F8,45.0,WC,coil_siz: each loop diameter; MSO individual,1,12499057,10.1016/s0304-3940(02)01283-1,https://doi.org/10.1016/s0304-3940(02)01283-1
